Acceleration (m/s^2): X=0.421 Y=0.497 Z=9.753
Magnetometer (uTeslas): X=1.500 Y=-49.800 Z=3.900
Magnetometer (uTeslas): X=1.050 	  Y=-50.250 	  Z=2.700i 	
Magnetometer (uTeslas): X=1.800 	  Y=-51.150 	  Z=3.450i 	
Magnetometer (uTeslas): X=1.500 	  Y=-50.250 	  Z=2.700i 	
Magnetometer (uTeslas): X=1.050 	  Y=-50.700 	  Z=2.700i 	
Magnetometer (uTeslas): X=0.000 	  Y=-50.250 	  Z=3.450i 	
Magnetometer (uTeslas): X=0.450 	  Y=-50.250 	  Z=3.000i 	
Magnetometer (uTeslas): X=0.750 	  Y=-50.250 	  Z=2.850i 	
Magnetometer (uTeslas): X=0.750 	  Y=-49.650 	  Z=3.150i 	
Magnetometer (uTeslas): X=1.200 	  Y=-50.700 	  Z=2.550i 	
Magnetometer (uTeslas): X=-0.150 	  Y=-49.950 	  Z=3.600i 	
Magnetometer (uTeslas): X=0.750 	  Y=-50.250 	  Z=3.600i 	
Magnetometer (uTeslas): X=1.050 	  Y=-50.850 	  Z=2.850i 	
Magnetometer (uTeslas): X=-0.150 	  Y=-50.550 	  Z=2.700i 	
Magnetometer (uTeslas): X=0.000 	  Y=-50.100 	  Z=2.250i 	
Magnetometer (uTeslas): X=0.150 	  Y=-49.950 	  Z=3.150i 	
Magnetometer (uTeslas): X=0.000 	  Y=-49.950 	  Z=2.850i 	
Magnetometer (uTeslas): X=0.300 	  Y=-49.800 	  Z=2.550i 	
Magnetometer (uTeslas): X=1.650 	  Y=-50.850 	  Z=2.700i 	
Magnetometer (uTeslas): X=0.000 	  Y=-50.100 	  Z=3.600i 	
Magnetometer (uTeslas): X=0.300 	  Y=-50.250 	  Z=3.000i 	
Magnetometer (uTeslas): X=0.600 	  Y=-50.700 	  Z=3.600i 	
Magnetometer (uTeslas): X=1.650 	  Y=-50.100 	  Z=3.150i 	
Magnetometer (uTeslas): X=1.050 	  Y=-50.850 	  Z=2.400i 	
Magnetometer (uTeslas): X=1.500 	  Y=-50.400 	  Z=3.600i 	
Magnetometer (uTeslas): X=1.050 	  Y=-50.400 	  Z=2.400i 	
Magnetometer (uTeslas): X=0.900 	  Y=-50.400 	  Z=2.700i 	
Magnetometer (uTeslas): X=0.900 	  Y=-51.150 	  Z=3.900i 	
Magnetometer (uTeslas): X=1.650 	  Y=-49.800 	  Z=3.150i 	
Magnetometer (uTeslas): X=0.000 	  Y=-48.900 	  Z=3.900i 	
Magnetometer (uTeslas): X=1.050 	  Y=-51.150 	  Z=2.700i 	
Magnetometer (uTeslas): X=0.300 	  Y=-51.150 	  Z=3.450i 	
Magnetometer (uTeslas): X=0.300 	  Y=-50.100 	  Z=3.150i 	
Magnetometer (uTeslas): X=0.000 	  Y=-50.400 	  Z=4.050i 	
Magnetometer (uTeslas): X=0.300 	  Y=-49.500 	  Z=2.550i 	
Magnetometer (uTeslas): X=0.450 	  Y=-50.550 	  Z=2.850i 	
Magnetometer (uTeslas): X=1.350 	  Y=-49.500 	  Z=3.000i 	
Magnetometer (uTeslas): X=1.200 	  Y=-49.650 	  Z=2.100i 	
Magnetometer (uTeslas): X=0.600 	  Y=-50.400 	  Z=2.700i 	
Magnetometer (uTeslas): X=1.650 	  Y=-49.800 	  Z=3.900i 	
Magnetometer (uTeslas): X=1.050 	  Y=-49.800 	  Z=3.450i 	
Magnetometer (uTeslas): X=1.650 	  Y=-49.950 	  Z=3.000i 	
Magnetometer (uTeslas): X=0.600 	  Y=-50.100 	  Z=3.300i 	
Magnetometer (uTeslas): X=0.450 	  Y=-49.800 	  Z=3.000i 	
Magnetometer (uTeslas): X=0.300 	  Y=-50.850 	  Z=3.600i 	
Magnetometer (uTeslas): X=1.200 	  Y=-51.150 	  Z=3.300i 	
Magnetometer (uTeslas): X=0.750 	  Y=-50.250 	  Z=3.900i 	
Magnetometer (uTeslas): X=1.050 	  Y=-49.950 	  Z=2.400i 	
Magnetometer (uTeslas): X=0.900 	  Y=-50.700 	  Z=3.300i 	
Magnetometer (uTeslas): X=1.200 	  Y=-50.700 	  Z=2.100i 	
Magnetometer (uTeslas): X=0.900 	  Y=-51.300 	  Z=3.450i 	
Magnetometer (uTeslas): X=0.300 	  Y=-49.050 	  Z=3.300i 	
Magnetometer (uTeslas): X=0.750 	  Y=-50.100 	  Z=3.900i 	
Magnetometer (uTeslas): X=1.350 	  Y=-49.350 	  Z=3.000i 	
Magnetometer (uTeslas): X=1.350 	  Y=-50.100 	  Z=3.000i 	
Magnetometer (uTeslas): X=1.950 	  Y=-49.650 	  Z=3.150i 	
Magnetometer (uTeslas): X=1.650 	  Y=-49.200 	  Z=2.700i 	
Magnetometer (uTeslas): X=0.750 	  Y=-50.250 	  Z=2.850i 	
Magnetometer (uTeslas): X=0.900 	  Y=-49.950 	  Z=3.150i 	
Magnetometer (uTeslas): X=1.650 	  Y=-48.900 	  Z=2.100i 	
Magnetometer (uTeslas): X=0.750 	  Y=-49.650 	  Z=3.300i 	
Magnetometer (uTeslas): X=0.450 	  Y=-50.250 	  Z=3.450i 	
Magnetometer (uTeslas): X=1.350 	  Y=-49.950 	  Z=3.150i 	
Magnetometer (uTeslas): X=0.150 	  Y=-49.500 	  Z=3.450i 	
Magnetometer (uTeslas): X=1.200 	  Y=-49.800 	  Z=2.250i 	
Magnetometer (uTeslas): X=0.150 	  Y=-49.500 	  Z=3.300i 	
Magnetometer (uTeslas): X=1.200 	  Y=-49.800 	  Z=2.550i 	
Magnetometer (uTeslas): X=0.300 	  Y=-51.000 	  Z=3.450i 	
Magnetometer (uTeslas): X=0.900 	  Y=-50.400 	  Z=2.550i 	
Magnetometer (uTeslas): X=1.500 	  Y=-50.250 	  Z=3.600i 	
Magnetometer (uTeslas): X=0.600 	  Y=-49.950 	  Z=2.700i 	
Magnetometer (uTeslas): X=1.650 	  Y=-50.850 	  Z=2.850i 	
Magnetometer (uTeslas): X=0.750 	  Y=-50.250 	  Z=2.550i 	
Magnetometer (uTeslas): X=2.100 	  Y=-49.950 	  Z=3.150i 	
Magnetometer (uTeslas): X=1.050 	  Y=-50.100 	  Z=2.550i 	
Magnetometer (uTeslas): X=1.350 	  Y=-49.950 	  Z=3.750i 	
Magnetometer (uTeslas): X=0.750 	  Y=-49.950 	  Z=2.250i 	
Magnetometer (uTeslas): X=1.350 	  Y=-49.350 	  Z=3.900i 	
Magnetometer (uTeslas): X=0.450 	  Y=-49.350 	  Z=2.850i 	
Magnetometer (uTeslas): X=0.750 	  Y=-50.250 	  Z=3.300i 	
Magnetometer (uTeslas): X=-0.150 	  Y=-49.050 	  Z=3.300i 	
Magnetometer (uTeslas): X=1.050 	  Y=-50.250 	  Z=3.600i 	
Magnetometer (uTeslas): X=-0.150 	  Y=-49.950 	  Z=2.550i 	
Magnetometer (uTeslas): X=0.450 	  Y=-50.400 	  Z=3.000i 	
Magnetometer (uTeslas): X=1.200 	  Y=-50.700 	  Z=3.450i 	
Magnetometer (uTeslas): X=1.500 	  Y=-50.100 	  Z=3.600i 	
Magnetometer (uTeslas): X=0.900 	  Y=-50.250 	  Z=3.750i 	
Magnetometer (uTeslas): X=1.500 	  Y=-50.550 	  Z=4.050i 	
Magnetometer (uTeslas): X=0.900 	  Y=-49.500 	  Z=3.900i 	
Magnetometer (uTeslas): X=1.050 	  Y=-49.800 	  Z=3.600i 	
Magnetometer (uTeslas): X=0.150 	  Y=-50.850 	  Z=2.700i 	
Magnetometer (uTeslas): X=0.600 	  Y=-49.650 	  Z=3.450i 	
Magnetometer (uTeslas): X=0.450 	  Y=-49.650 	  Z=3.000i 	
Magnetometer (uTeslas): X=0.750 	  Y=-49.500 	  Z=2.400i 	
Magnetometer (uTeslas): X=0.750 	  Y=-49.500 	  Z=2.550i 	
Magnetometer (uTeslas): X=0.900 	  Y=-50.550 	  Z=2.850i 	
Magnetometer (uTeslas): X=1.200 	  Y=-49.650 	  Z=3.300i 	
Magnetometer (uTeslas): X=0.600 	  Y=-49.800 	  Z=3.300i 	
Magnetometer (uTeslas): X=0.150 	  Y=-49.350 	  Z=3.150i 	
